Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variable,ABC-123,123 Rose Contour Front Close Bra,1,0,visible,Designed with a front close and back adjustment for easy donning and doffing.,"Designed to lift and separate, ABC’s Rose Contour Front Close Bra gives comfortable support with an ultra-feminine air. Constructed with front hook closure for easy wear and stretch straps for a comfortable fit, this bra is essential for your intimate wardrobe.",taxable,1,,Mastectomy Bras,Bras,https://americanbreastcare.com/wp-content/uploads/2019/05/123-White-2.webp,,Color,"Beige, Black, Cocoa, White",1,1,Size,"34 A, 36 A, 38 A, 40 A, 42 A, 34 B, 36 B, 38 B, 40 B, 42 B, 44 B, 34 C – DD, 36 C – DD, 38 C – DD, 40 C – DD, 42 C – DD, 44 C – DD, 46 C – DD, 34 C – D, 36 C – D, 38 C – D, 40 C – D, 42 C – D, 44 C – D, 46 C – D, 36 DD, 38 DD, 40 DD, 42 DD, 44 DD, 46 DD",1,1
variation,ABC-123-V,123 Rose Contour Front Close Bra,1,,visible,,,taxable,1,25.50,,,,ABC-123,Color,,,1,Size,,,1
variable,ABC-Style #: 122,122 Classic Cotton Bra,1,0,visible,"Featuring discreet pockets that seamlessly fit prostheses or shapers, it offers the comfort and confidence women deserve.","Crafted from a luxuriously soft cotton blend, this seamless bra feels like a second skin. Designed with all-day-wear in mind, it offers gentle support and unparalleled comfort that is perfect for everyday life. Our innovative design prioritizes both comfort and functionality. The seamless construction eliminates any uncomfortable lines or chafing, while the breathable fabric keeps you cool and dry throughout the day.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2025/02/122-honey.webp, https://americanbreastcare.com/wp-content/uploads/2025/02/122-onyx.webp, https://americanbreastcare.com/wp-content/uploads/2025/02/122-Terracotta.webp",,Color,"Terrocatta, Honey, Onyx",1,1,Size,"32 AA, 34 AA, 36 AA, 38 AA, 40 AA, 42 AA, 32 A - DD, 34 A - DD, 36 A - DD, 38 A - DD, 40 A - DD, 42 A - DD, 44 A - DD, 46 A - DD",1,1
variation,ABC-Style #: 122-V,122 Classic Cotton Bra,1,,visible,,,taxable,1,24.00,,,,ABC-Style #: 122,Color,,,1,Size,,,1
variable,ABC-118,118 Full Figure M-Frame Bra,1,0,visible,"Constructed with an M-frame design for excellent lift and long-lasting support. Fiber fill lining in the cups enhances the breast shape. Side and back panels feature Powernet fabric for support, breathability and flexibility. Rigid straps provide exceptional support.","You’ll love the lightweight comfort of the Full Figure M-Frame Bra by ABC. Perfect for daily wear, our design features Powernet fabric and firm straps for maximum lift and support. Seamed soft cups & fiber fill lining helps to smooth for an enhanced shape.",taxable,1,,Mastectomy Bras,Bras,https://americanbreastcare.com/wp-content/uploads/2019/05/118-Beige.webp,,Color,Beige,1,1,Size,"34 B – C, 36 B – C, 38 B – C, 40 B – C, 42 B – C, 44 B – C, 46 B – C, 48 B – C, 50 B – C, 52 B – C, 34 D – DD, 36 D – DD, 38 D – DD, 40 D – DD, 42 D – DD, 44 D – DD, 46 D – DD",1,1
variation,ABC-118-V,118 Full Figure M-Frame Bra,1,,visible,,,taxable,1,27.50,,,,ABC-118,Color,,,1,Size,,,1
variable,ABC-112,112 Seamless Strapless Bra,1,0,visible,"Constructed with a thin layer of foam for a smooth, enhanced shape. Underwire and side stays offer exceptional support. Wide, soft elastic band for a secure fit. Clear and color fabric straps are included for multiple fitting options. Embroidered detail between the cups adds beautiful style.","Experience the sleek flexibility of ABC’s Seamless Strapless Bra! Designed for smoothing support, this bra features an underwire and side stays for a comfortably secure fit. Foam cups enhance your shape while detachable straps allow for versatile wear. Our embroidered lace detail adds subtle charm to your bra band for understated elegance.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/112-Beige.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/112-Black.webp",,Color,"Beige, Black",1,1,Size,"34 AA – C, 36 AA – C, 38 AA – C, 40 AA – C, 42 AA – C, 34 D, 36 D, 38 D, 40 D",1,1
variation,ABC-112-V,112 Seamless Strapless Bra,1,,visible,,,taxable,1,50.00,,,,ABC-112,Color,,,1,Size,,,1
variable,ABC-110,110 Leisure Bra,1,0,visible,"Designed with breathable cotton and spandex for a comfortable, relaxed fit. Ideal bra for post-surgical and/or leisure wear. Constructed with a front closure for easy on-and- off post surgery. Wide stretch straps are non-adjustable.","Enjoy the soft comfort and relaxed fit of ABC’s Leisure Bra. Perfect for post-surgical and leisure wear, our design features front closure for easy on-and-off, wide straps for support, and a relaxed fit for optimal comfort.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/110-Leisure-Bra-Magenta-Butterfly-MB.png, https://americanbreastcare.com/wp-content/uploads/2019/05/110WC.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Palm-Leaves_PL.png, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Leisure-Bra-Botanical-Bliss-BB-Model-0006.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Pink.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Mint.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Grey.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Blue.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/110-Berry.webp, https://americanbreastcare.com/wp-content/uploads/2025/03/110-Leisure-Bra-White-WH-002.webp, https://americanbreastcare.com/wp-content/uploads/2025/03/110-Leisure-Bra-Beige-BE-001.webp",,Color,"Beige, Black, White, Berry, Blue, Gray, Pink, Mint, Love Hearts, Palm Leaves, Botanical Bliss, Wild Cat, Magenta Butterfly",1,1,Size,"Band Sizes:, XS, S, M, L, XL, XXL, Cup Sizes:, A/B, C/D, E/F, G/H, Fashion Colors",1,1
variation,ABC-110-V,110 Leisure Bra,1,,visible,,,taxable,1,23.00,,,,ABC-110,Color,,,1,Size,,,1
variable,ABC-105,105 Petite T-Shirt Bra,1,0,visible,"Made with a thin layer of foam for a smooth, enhanced silhouette. Embroidered straps and mid-band detail give this bra design a touch of style. Stretch straps make for a comfortable fit.","Embrace delicate beauty with ABC’s Petite T-Shirt Bra. Featuring seamless molded foam cups, our Petite T-Shirt Bra smooths and enhances for a sleek silhouette. The subtle lace detail on band and straps adds a gentle elegance to this dainty bra.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/105-Beige.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/105-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/105-White.webp",,Color,"Beige, Black, White",1,1,Size,"32 AA, 34 AA, 36 AA, 38 AA, 40 AA, 32 A – C, 34 A – C, 36 A – C, 38 A – C, 40 A – C, 42 A – C",1,1
variation,ABC-105-V,105 Petite T-Shirt Bra,1,,visible,,,taxable,1,26.00,,,,ABC-105,Color,,,1,Size,,,1
variable,ABC-103,103 Rose Contour Bra,1,0,visible,"Created with soft, fiber fill cups that provide lift and separation. Jacquard fabric features the ABC signature rose for feminine flair. Stretch straps provide a comfortable fit.","It’s easy to see why ABC’s Rose Contour Bra is considered a favorite among many! ABC’s classic design and soft fiber fill cups create an effortless lift for outstanding comfort and support. Available in a wide selection of colors that feature ABC’s signature rose jacquard fabric, this style is the perfect everyday bra.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/103-Mocha.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Beige.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-White.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Ruby-Red.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Rose.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Platinum-Blue.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Pink.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Navy.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Mint.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Maroon.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Lilac.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Cocoa.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/103-Black.webp",,Color,"Beige, Black, White, Cocoa, Pink, Lilac, Navy Blue, Maroon, Platinum Blue, Mint, Rose, Mocha, Ruby Red",1,1,Size,"34 AA, 36 AA, 38 AA, 40 AA, 42 AA, 44 AA, 32 A – B, 34 A – B, 36 A – B, 38 A – B, 40 A – B, 42 A – B, 44 A – B, 46 A – B, 48 A – B, 50 A – B, 34 C-D, 36 C-D, 38 C-D, 40 C-D, 42 C-D, 44 C-D, 46 C-D, 48 C-D, 50 C-D, 52 C-D, 54 C-D, 36 DD – DDD, 38 DD – DDD, 40 DD – DDD, 42 DD – DDD, 44 DD – DDD, 46 DD – DDD, 48 DD – DDD, 50 DD – DDD, 52 DD – DDD, 54 DD – DDD, 38 DDDD, 40 DDDD, 42 DDDD, 44 DDDD, 46 DDDD, 48 DDDD, 50 DDDD, 32 A - C, 34 A - C, 36 A - C, 38 A - C, 40 A - C, 42 A - C, 44 A - C, 46 A - C, 48 A - C, 50 A - C, 34 D, 36 D, 38 D, 40 D, 42 D, 44 D, 46 D, 48 D, 50 D, 36 DD - DDD, 38 DD - DDD, 40 DD - DDD, 42 DD - DDD, 44 DD - DDD, 46 DD - DDD, 48 DD - DDD, 50 DD - DDD, Fashion Colors, 32 A, 34 A, 36 A, 38 A, 40 A, 42 A, 32 B, 34 B, 36 B, 38 B, 40 B, 42 B, 44 B, 32 C, 34 C, 36 C, 38 C, 40 C, 42 C, 44 C, 46 C, 36 DD, 38 DD, 40 DD, 42 DD, 44 DD, 46 DD",1,1
variation,ABC-103-V,103 Rose Contour Bra,1,,visible,,,taxable,1,25.50,,,,ABC-103,Color,,,1,Size,,,1
variable,ABC-101,101 Micro-Fiber Lace Contour Bra,1,0,visible,"Designed with soft, fiber fill cups that provide shaping and microfiber fabric for cooling comfort. Elastic at the neckline provides secure support and stretch straps make for a comfortable fit. A simple touch of lace on the neckline and the straps adds to the classic beauty of this timeless bra.","You’ll love the timeless beauty of ABC’s Micro-Fiber Lace Front Bra. Our soft fiber-filled cups give shape for a smooth look, while cooling microfiber keeps you comfortable all day. The simple lace detail brings together the effortless beauty of this classic bra.",taxable,1,,Mastectomy Bras,Bras,"https://americanbreastcare.com/wp-content/uploads/2019/05/101-Black.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/101-Beige.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/101-Pink.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/101-White.webp",,Color,"Beige, Black, Pink, White",1,1,Size,"34 A – C, 36 A – C, 38 A – C, 40 A – C, 42 A – C, 44 A – C, 34 D, 36 D, 38 D, 40 D",1,1
variation,ABC-101-V,101 Micro-Fiber Lace Contour Bra,1,,visible,,,taxable,1,26.00,,,,ABC-101,Color,,,1,Size,,,1
variable,ABC-980,980 Active Swim Form,1,0,visible,"Dive into comfort and confidence with ABC’s Active Swim Form! This specially designed breast form is perfect for swimming, beach days, and any other active summer adventures. It features innovative comfort channels that gently hug your patient’s chest wall for a soothing feel, while ensuring that the form stays securely in place. The Active Swim Form is crafted from clear silicone and fits discreetly into swim and activewear.","Poolside Perfection Dive into comfort and confidence with ABC’s Active Swim Form! This specially designed breast form is perfect for swimming, beach days, and any other active summer adventures. It features innovative comfort channels that gently hug your patient’s chest wall for a soothing feel, while ensuring that the form stays securely in place. The Active Swim Form is crafted from clear silicone and fits discreetly into swim and activewear. clear 1 – 12 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. For pricing and availability, ask your certified mastectomy fitter for more details. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2024/04/980.png, https://americanbreastcare.com/wp-content/uploads/2019/05/10268-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/04/10251.jpg, https://americanbreastcare.com/wp-content/uploads/2019/08/10575-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/1044.jpg",,Color,Clear,1,1,Size,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1,1
variation,ABC-980-V,980 Active Swim Form,1,,visible,,,taxable,1,84.00,,,,ABC-980,Color,,,1,Size,,,1
variable,ABC-931,931 Swim Form Triangle,1,0,visible,You’ll love ABC’s Swim Form Triangle. This swim form features ABC’s classic triangle shape and fits to flatter in various swimwear and activewear styles. The Swim Form Triangle is saltwater friendly and features a hollow back that helps keep this form comfortably in place while swimming/engaging in water activities.,"Poolside Perfection You’ll love ABC’s Swim Form Triangle. This swim form features ABC’s classic triangle shape and fits to flatter in various swimwear and activewear styles. The Swim Form Triangle is saltwater friendly and features a hollow back that helps keep this form comfortably in place while swimming/engaging in water activities. clear 1 – 12 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. For pricing and availability, ask your certified mastectomy fitter for more details. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/04/931-Swim-Form.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10272-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/04/10250.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10270-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/04/10281.jpg",,Color,Clear,1,1,Size,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1,1
variation,ABC-931-V,931 Swim Form Triangle,1,,visible,,,taxable,1,84.00,,,,ABC-931,Color,,,1,Size,,,1
variable,ABC-1072,1072 Classic Triangle Lightweight,1,0,visible,"Enjoy the soft comfort of ABC’s Classic Triangle Lightweight! Our triangle design fits and flatters a wide variety of body types, providing a natural appearance and silhouette. Developed with ABC’s lightweight silicone, this prosthesis helps to manage shoulder tension for exceptional comfort.","Essential Comfort, Effortless Ease Enjoy the soft comfort of ABC’s Classic Triangle Lightweight! Our triangle design fits and flatters a wide variety of body types, providing a natural appearance and silhouette. Developed with ABC’s lightweight silicone, this prosthesis helps to manage shoulder tension for exceptional comfort. lightweight comfort blush 1 – 14 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/05/1072-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/08/10142-Basic-Triangle-Front-1500x1500.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10225-2-e1569350461436.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10288-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10280.jpg",,Color,Blush,1,1,Size,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",1,1
variation,ABC-1072-V,1072 Classic Triangle Lightweight,1,,visible,,,taxable,1,111.00,,,,ABC-1072,Color,,,1,Size,,,1
variable,ABC-10672,10672 ABC MyForm™ Lightweight,1,0,visible,Enjoy the freedom of personalization with ABC’s MyForm™ Lightweight! Our unique design is completely adjustable. Use ABC’s hypoallergenic fiber-fill to add fullness where you need it most. ABC’s lightweight silicone offers flexibility and helps to manage shoulder tension for outstanding comfort.,"Essential Comfort, Effortless Ease Enjoy the freedom of personalization with ABC’s MyForm™ Lightweight! Our unique design is completely adjustable. Use ABC’s hypoallergenic fiber-fill to add fullness where you need it most. ABC’s lightweight silicone offers flexibility and helps to manage shoulder tension for outstanding comfort. adjustable fullness blush 1 -12 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you for more information. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/08/10672_MyForm.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10475-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/1072-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/04/1032.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10287-e1569350505409.jpg",,Color,Blush,1,1,Size,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1,1
variation,ABC-10672-V,10672 ABC MyForm™ Lightweight,1,,visible,,,taxable,1,207.00,,,,ABC-10672,Color,,,1,Size,,,1
variable,ABC-10575,10575 Massage Form® Air,1,0,visible,"Enjoy the cooling comfort of The Massage Form® Air; developed with ABC’s Patented Massage Technology! Specialized channels encourage airflow, helping to reduce heat retention and provide a soothing touch; especially great for women experiencing symptoms associated with Lymphedema. ABC’s lightest air silicone provides a natural appearance while decreasing tension on shoulders for comfortable, carefree wear.","Patented Massage Technology- Massages, Hugs, Cools Enjoy the cooling comfort of The Massage Form® Air; developed with ABC’s Patented Massage Technology! Specialized channels encourage airflow, helping to reduce heat retention and provide a soothing touch; especially great for women experiencing symptoms associated with Lymphedema. ABC’s lightest air silicone provides a natural appearance while decreasing tension on shoulders for comfortable, carefree wear. massaging feelingcooler feelinglighter-weight blush 1 – 14 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you for more information. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/08/10575-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10281.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10225-2-e1569350461436.jpg, https://americanbreastcare.com/wp-content/uploads/2019/06/10275-1500x1500.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10288-300x300.jpg",,Color,Blush,1,1,Size,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",1,1
variation,ABC-10575-V,10575 Massage Form® Air,1,,visible,,,taxable,1,208.00,,,,ABC-10575,Color,,,1,Size,,,1
variable,ABC-10487,10487 ABC’s Diamond Attach,1,0,visible,"The remarkable cooling comfort of ABC’s Diamond Technology is now available in an attachable breast form; ABC’s new Diamond Attach! Our specialized diamond pattern minimizes perspiration, increases evaporation rate during activity, while ABC’s integrated adhesive prevents shifting for secure comfort that lasts! Enjoy the extraordinary comfort & and secure fit of ABC’s Diamond Attach.","Enjoy Cooling Comfort that Lasts & Lasts! The remarkable cooling comfort of ABC’s Diamond Technology is now available in an attachable breast form; ABC’s new Diamond Attach! Our specialized diamond pattern minimizes perspiration, increases evaporation rate during activity, while ABC’s integrated adhesive prevents shifting for secure comfort that lasts! Enjoy the extraordinary comfort & and secure fit of ABC’s Diamond Attach. cooler feelinglighter-weightextra secure fit blush 2 – 11 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2022/03/10487-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/10287-e1569350505409.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10288-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/08/10575-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10280.jpg",,Color,Blush,1,1,Size,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11",1,1
variation,ABC-10487-V,10487 ABC’s Diamond Attach,1,,visible,,,taxable,1,219.00,,,,ABC-10487,Color,,,1,Size,,,1
variable,ABC-10475,10475 Massage Form® Attach,1,0,visible,"Enjoy the cooling comfort and secure wear of the Massage Form ® Attach. ABC’s integrated adhesive keeps this lightweight form securely in place for a natural look and comfortable fit. Featuring ABC’s Patented Massage Technology, specialized channels encourage airflow, helping to reduce heat retention and provide a soothing touch. This prosthesis is especially great for women experiencing symptoms associated with Lymphedema.","Patented Massage Technology- Massages, Hugs, Cools Enjoy the cooling comfort and secure wear of the Massage Form ® Attach. ABC’s integrated adhesive keeps this lightweight form securely in place for a natural look and comfortable fit. Featuring ABC’s Patented Massage Technology, specialized channels encourage airflow, helping to reduce heat retention and provide a soothing touch. This prosthesis is especially great for women experiencing symptoms associated with Lymphedema. massaging feelingcooler feelinglighter-weightextra secure fit blush 1 – 12 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you for more information. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/05/10475-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/08/10575-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10295-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10280.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/931-Swim-Form.jpg",,Color,Blush,1,1,Size,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1,1
variation,ABC-10475-V,10475 Massage Form® Attach,1,,visible,,,taxable,1,219.00,,,,ABC-10475,Color,,,1,Size,,,1
variable,ABC-1044,1044 Triangle Standard,1,0,visible,"You’ll love the classic look and genuine softness of ABC’s Triangle Standard! Our triangle design fits easily into your favorite bra styles for a seamless look. Developed with ABC’s standard silicone, this prosthesis offers a natural softness for an authentic silhouette.","Essential Comfort, Effortless Ease You’ll love the classic look and genuine softness of ABC’s Triangle Standard! Our triangle design fits easily into your favorite bra styles for a seamless look. Developed with ABC’s standard silicone, this prosthesis offers a natural softness for an authentic silhouette. fully-weighted comfort blush 0 -18 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/04/1044.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10270-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/05/10222-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/04/1042.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/1004-Teardrop-zoom.jpg",,Color,Blush,1,1,Size,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",1,1
variation,ABC-1044-V,1044 Triangle Standard,1,,visible,,,taxable,1,156.00,,,,ABC-1044,Color,,,1,Size,,,1
variable,ABC-1042,1042 Triangle Lightweight,1,0,visible,"You’ll love the classic look and soft comfort of ABC’s Triangle Lightweight! Our triangle design fits easily into your favorite bra styles for a seamless look. Developed with ABC’s lightweight silicone, this prosthesis presents a natural silhouette while helping to manage shoulder tension for exceptional comfort.","Essential Comfort, Effortless Ease You’ll love the classic look and soft comfort of ABC’s Triangle Lightweight! Our triangle design fits easily into your favorite bra styles for a seamless look. Developed with ABC’s lightweight silicone, this prosthesis presents a natural silhouette while helping to manage shoulder tension for exceptional comfort. lightweight comfort Colors: blush tawny 0 -18 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/04/1042.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10475-300x300.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10250.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/1004-Teardrop-zoom.jpg, https://americanbreastcare.com/wp-content/uploads/2019/08/10142-Basic-Triangle-Front-1500x1500.jpg",,Color,Colors:  blush  tawny,1,1,Size,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",1,1
variation,ABC-1042-V,1042 Triangle Lightweight,1,,visible,,,taxable,1,176.00,,,,ABC-1042,Color,,,1,Size,,,1
variable,ABC-1041,1041 Triangle Ultra Light,1,0,visible,"You’ll love the classic look and soft comfort of ABC’s Triangle Ultra Light. Our triangle design fits easily into your favorite bra styles for a seamless look. Developed with ABC’s lightest air silicone, this prosthesis aids in managing shoulder tension; keeping sensitive areas comfortable. Enjoy carefree wear with ABC’s Triangle Ultra Light.","Airy Comfort for Your Carefree Lifestyle! You’ll love the classic look and soft comfort of ABC’s Triangle Ultra Light. Our triangle design fits easily into your favorite bra styles for a seamless look. Developed with ABC’s lightest air silicone, this prosthesis aids in managing shoulder tension; keeping sensitive areas comfortable. Enjoy carefree wear with ABC’s Triangle Ultra Light. lightweight comfort blush 2 -18 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you. Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/04/1041.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10225-2-e1569350461436.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10271.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10222-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/08/10142-Basic-Triangle-Front-1500x1500.jpg",,Color,Blush,1,1,Size,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",1,1
variation,ABC-1041-V,1041 Triangle Ultra Light,1,,visible,,,taxable,1,192.00,,,,ABC-1041,Color,,,1,Size,,,1
variable,ABC-10373,10373 Dual-Soft Triangle,1,0,visible,"Experience supreme comfort and softness with ABC’s Dual-Soft Triangle! Our triple-layer design offers exceptional softness while providing stability for secure wear. Featuring a convex back, this prosthesis fits snuggly against your body’s contours. ABC’s lightweight Super Soft Silicone presents a natural silhouette while helping to manage shoulder tension for exceptional comfort.","Essential Comfort, Effortless Ease Experience supreme comfort and softness with ABC’s Dual-Soft Triangle! Our triple-layer design offers exceptional softness while providing stability for secure wear. Featuring a convex back, this prosthesis fits snuggly against your body’s contours. ABC’s lightweight Super Soft Silicone presents a natural silhouette while helping to manage shoulder tension for exceptional comfort. lightweight comfort blush 1 -12 Reimbursement: Covered by Medicare, Medicaid, and most private insurance plans. Colors & sizes may have select availability among ABC retailers. Contact a retailer near you for more information. . Find a retailer/certified fitter Made in the USA",taxable,1,,Breast Forms,Breast Forms,"https://americanbreastcare.com/wp-content/uploads/2019/08/10373-back.webp, https://americanbreastcare.com/wp-content/uploads/2019/04/10251.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10250.jpg, https://americanbreastcare.com/wp-content/uploads/2019/04/10271.jpg, https://americanbreastcare.com/wp-content/uploads/2019/05/10475-300x300.jpg",,Color,Blush,1,1,Size,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1,1
variation,ABC-10373-V,10373 Dual-Soft Triangle,1,,visible,,,taxable,1,204.00,,,,ABC-10373,Color,,,1,Size,,,1
